Login Timestamp,User ID,Round-Trip Time [ms],IP Address,Country,Region,City,ASN,Device Type,Login Successful,Is Attack IP,Is Account Takeover
2020-02-03 12:58:46.690,1920700049555423657,,51.175.247.9,NO,Vestfold og Telemark,Langesund,29695,desktop,True,False,False
2020-02-03 13:05:28.828,-7463781822289739808,,158.248.67.205,NO,Viken,Raholt,29695,desktop,False,False,False
2020-02-03 13:06:35.859,-7463781822289739808,,158.248.67.205,NO,Viken,Raholt,29695,desktop,True,False,False
2020-02-03 13:09:25.826,349492264981818000,,92.221.104.197,NO,Rogaland,Sandnes,29695,desktop,False,False,False
2020-02-03 13:12:17.955,349492264981818000,,92.221.104.197,NO,Rogaland,Sandnes,29695,desktop,True,False,False
2020-02-03 13:12:18.301,4396661923817049493,,92.221.163.75,NO,Rogaland,Klepp,29695,desktop,True,False,False
2020-02-03 13:15:02.973,805504322089413951,,10.0.72.113,NO,Oslo County,Oslo,29695,mobile,False,False,False
2020-02-03 13:30:16.241,8450058182254465767,,43.252.35.145,IN,Maharashtra,Thane,132996,mobile,True,False,False
2020-02-03 13:30:51.032,8450058182254465767,,43.252.35.145,IN,Maharashtra,Thane,132996,mobile,False,False,False
2020-02-03 13:31:44.074,8596062905004572439,,84.209.141.129,NO,Oslo County,Oslo,41164,desktop,True,False,False
2020-02-03 13:33:25.930,-7778336782862768387,,95.169.34.14,NO,Innlandet,Hamar,29492,mobile,True,False,False
2020-02-03 13:35:17.758,-8806631359410557718,,51.174.201.165,NO,Vestfold og Telemark,Vear,29695,desktop,True,True,False
2020-02-03 13:41:45.522,-3746671719957346834,33.0,10.0.58.205,NO,Oslo County,Oslo,29695,mobile,True,False,False
2020-02-03 13:42:16.923,6167910012482810100,,146.120.168.121,UA,Ternopil Oblast,Monastyryska,43309,mobile,True,False,False
2020-02-03 13:44:57.232,-8197236030712726721,,92.221.51.138,NO,Rogaland,Algard,29695,desktop,False,False,False
2020-02-03 13:50:56.801,-720528843671416737,,10.0.77.104,NO,-,-,29695,desktop,False,False,False
2020-02-03 13:54:28.829,3914709315425094820,,45.89.192.186,NO,-,-,50304,mobile,True,False,False
2020-02-03 13:58:55.706,-8197236030712726721,,92.221.51.138,NO,Rogaland,Algard,29695,desktop,True,False,False
2020-02-03 14:03:01.585,6474044916170560120,,10.2.219.45,UA,Chernivtsi Oblast,Dolynyany,28907,mobile,True,False,False
2020-02-03 14:07:34.514,6474044916170560120,,10.2.219.45,UA,Chernivtsi Oblast,Dolynyany,28907,mobile,True,False,False
2020-02-03 14:12:54.655,6474044916170560120,,10.2.219.45,UA,Chernivtsi Oblast,Dolynyany,28907,mobile,True,False,False
2020-02-03 14:17:43.615,1486727094534290888,,152.93.165.149,NO,-,-,29695,desktop,True,False,False
2020-02-03 14:18:46.518,-928663880667019252,,51.175.235.44,NO,Viken,Hasle,29695,tablet,True,False,False
2020-02-03 14:19:43.615,1486727094534290888,,152.93.165.149,NO,-,-,29695,desktop,True,False,False
2020-02-03 14:20:29.958,-720528843671416737,,10.0.77.104,NO,-,-,29695,desktop,True,False,False
2020-02-03 14:28:00.006,6474044916170560120,,10.2.219.45,UA,Chernivtsi Oblast,Dolynyany,28907,mobile,True,False,False
2020-02-03 14:28:27.879,6474044916170560120,,10.2.219.45,UA,Chernivtsi Oblast,Dolynyany,28907,mobile,True,False,False
2020-02-03 14:45:58.513,8707440539467987708,,81.166.10.0,NO,Rogaland,Stavanger,29695,desktop,True,False,False
2020-02-03 15:07:51.982,5807314463293209569,,85.116.201.168,DE,-,-,34240,mobile,True,False,False
2020-02-03 15:07:52.323,-5528769691950490045,,158.149.50.74,NO,-,-,29492,desktop,True,False,False
2020-02-03 15:09:55.161,8196909183500976126,959.0,10.0.69.116,NO,Oslo County,Oslo,29695,mobile,True,False,False
2020-02-03 15:13:38.879,1457125734109499237,,78.91.45.197,NO,-,-,224,desktop,False,False,False
2020-02-03 15:16:14.602,-7134890500077051386,,152.93.58.75,NO,-,-,29695,mobile,True,False,False
2020-02-03 15:16:20.731,7882543198554528634,,84.208.195.159,NO,Rogaland,Stavanger,41164,mobile,True,False,False
2020-02-03 15:19:29.113,-7345591596404010739,,158.248.175.10,NO,-,-,29695,mobile,True,False,False
2020-02-03 15:19:35.121,1457125734109499237,,78.91.45.197,NO,-,-,224,desktop,True,False,False
2020-02-03 15:23:04.462,158901820999218398,,84.48.187.128,NO,Innlandet,Hunndalen,15659,mobile,True,False,False
2020-02-03 15:23:42.862,1457125734109499237,,78.91.45.197,NO,-,-,224,desktop,True,False,False
2020-02-03 15:26:41.373,-534774098668413418,,46.212.227.135,NO,Viken,Rasta,41164,mobile,True,False,False
2020-02-03 15:29:42.301,1457125734109499237,,78.91.45.197,NO,-,-,224,desktop,True,False,False
2020-02-03 15:32:24.049,1457125734109499237,,78.91.45.197,NO,-,-,224,desktop,False,False,False
2020-02-03 15:33:38.782,8196909183500976126,503.0,10.0.69.116,NO,Oslo County,Oslo,29695,mobile,True,False,False
2020-02-03 15:38:25.758,158901820999218398,,92.221.161.177,NO,Rogaland,Klepp,29695,mobile,True,False,False
2020-02-03 15:42:35.528,8196909183500976126,,188.228.33.26,NO,-,-,29695,tablet,True,True,False
2020-02-03 15:45:24.203,7164161516879616319,,109.247.155.109,NO,Rogaland,Stavanger,29695,desktop,True,False,False
2020-02-03 15:48:35.789,8196909183500976126,,188.228.33.26,NO,-,-,29695,desktop,True,True,False
2020-02-03 15:49:35.187,8450058182254465767,,43.252.35.145,IN,Maharashtra,Thane,132996,mobile,False,False,False
2020-02-03 16:02:20.335,-780825829255267139,458.0,81.166.39.1,NO,Oslo County,Oslo,29695,mobile,True,False,False
2020-02-03 16:09:29.897,4396661923817049493,,51.174.109.44,NO,Rogaland,Bryne,29695,mobile,True,False,False
2020-02-03 16:16:11.689,8196909183500976126,,178.16.75.213,NO,Nordland,Bodø,29695,mobile,True,False,False
2020-02-03 16:17:49.071,6571652393323447655,,217.112.93.58,GB,-,-,29550,desktop,True,False,False
2020-02-03 16:20:44.014,7927306093833968145,515.0,92.220.115.34,NO,Oslo County,Oslo,29695,tablet,True,False,False
2020-02-03 16:21:47.695,-6197054973224081707,,5.149.127.66,UA,-,-,28907,mobile,True,False,False
2020-02-03 16:22:42.628,-6197054973224081707,,5.149.127.66,UA,-,-,28907,mobile,True,False,False
2020-02-03 16:32:22.880,-676873480552444486,564.0,37.191.136.63,NO,Oslo County,Oslo,57963,mobile,True,False,False
2020-02-03 16:37:40.549,6571652393323447655,,217.112.93.58,GB,-,-,29550,desktop,False,False,False
2020-02-03 16:40:04.836,6571652393323447655,,217.112.93.58,GB,-,-,29550,desktop,True,False,False
2020-02-03 16:52:59.459,-4414050021532465355,,84.234.241.160,NO,Agder,Tvedestrand,29695,desktop,True,False,False
2020-02-03 17:14:23.531,-676873480552444486,551.0,37.191.136.63,NO,Oslo County,Oslo,57963,mobile,False,False,False
2020-02-03 17:15:30.602,942384644086230011,,89.162.102.216,NO,Nordland,Mo i Rana,29695,mobile,True,False,False
2020-02-03 17:19:34.869,-112710320167298705,,109.247.47.182,NO,Innlandet,Gran,29695,tablet,True,False,False
2020-02-03 17:31:01.902,3735069132282750725,,37.191.187.63,NO,Oslo County,Oslo,57963,desktop,True,False,False
2020-02-03 17:39:17.774,3333039841412028543,,158.248.253.36,NO,-,-,29695,tablet,True,False,False
2020-02-03 17:39:26.427,-4554984973440820166,,78.91.21.119,NO,-,-,224,mobile,True,False,False
2020-02-03 17:39:35.631,-4165118724432580591,,139.164.35.167,NO,-,-,29695,tablet,True,False,False
2020-02-03 17:50:15.320,942384644086230011,,89.162.102.216,NO,Nordland,Mo i Rana,29695,mobile,True,False,False
2020-02-03 17:50:53.685,-676873480552444486,545.0,37.191.136.63,NO,Oslo County,Oslo,57963,mobile,False,False,False
2020-02-03 17:52:34.339,-4385161054149791059,,92.220.150.175,NO,Nordland,Sortland,29695,mobile,True,False,False
2020-02-03 17:55:09.722,8196909183500976126,,178.16.75.213,NO,Nordland,Bodø,29695,desktop,True,False,False
